,reward_0.0001,steps_0.0001,end_0.0001,reward_0.0005,steps_0.0005,end_0.0005,reward_0.001,steps_0.001,end_0.001,reward_0.005,steps_0.005,end_0.005
83,-121.0,43,2.0,-101.0,3,1.0,-109.5,20,2.0,-199.0,199,2.0
84,-106.5,14,2.0,-141.0,83,1.0,-109.0,19,2.0,-133.0,67,1.0
85,4994.5,12,0.0,4961.0,79,0.0,4973.5,54,0.0,-107.5,16,1.0
86,-135.5,72,1.0,-213.5,228,2.0,4980.5,40,0.0,4991.5,18,0.0
87,-208.0,217,1.0,-183.5,168,2.0,-108.0,17,1.0,-164.5,130,2.0
88,-119.0,39,2.0,-100.0,1,2.0,-126.5,54,1.0,-103.0,7,2.0
89,-104.5,10,1.0,-136.5,74,2.0,-130.0,61,2.0,-133.5,68,1.0
90,-166.0,133,1.0,-102.5,6,1.0,-195.0,191,2.0,-115.0,31,2.0
91,-104.5,10,1.0,4839.0,323,0.0,-161.5,124,1.0,4921.0,159,0.0
92,-212.0,225,1.0,-135.0,71,2.0,-182.5,166,2.0,-175.0,151,1.0
93,-103.5,8,2.0,-122.0,45,2.0,-208.0,217,1.0,-104.0,9,1.0
94,-169.0,139,2.0,-100.5,2,2.0,-176.5,154,1.0,-153.5,108,2.0
95,-141.5,84,2.0,-130.0,61,1.0,-101.0,3,1.0,-104.0,9,1.0
96,-155.0,111,1.0,-100.0,1,2.0,-199.5,200,1.0,-198.0,197,2.0
97,-111.5,24,1.0,-101.5,4,1.0,-110.5,22,1.0,-101.5,4,2.0
98,-106.0,13,1.0,-125.5,52,2.0,-104.0,9,1.0,-107.5,16,2.0
99,-188.5,178,1.0,-131.5,64,2.0,-139.0,79,1.0,-103.0,7,2.0
100,-111.0,23,2.0,-289.5,380,2.0,-102.0,5,1.0,-105.5,12,1.0
101,4952.5,96,0.0,-107.5,16,2.0,-127.5,56,1.0,-130.0,61,2.0
102,-164.0,129,2.0,-101.5,4,2.0,-251.0,303,2.0,-106.0,13,2.0
103,-193.5,188,1.0,-137.0,75,1.0,-105.0,11,1.0,-118.5,38,2.0
104,-100.0,1,1.0,-138.0,77,2.0,-114.5,30,2.0,-127.5,56,2.0
105,4986.5,28,0.0,-103.5,8,2.0,-127.5,56,2.0,-100.0,1,1.0
106,-145.0,91,2.0,-143.0,87,2.0,-289.0,379,1.0,-111.5,24,1.0
