,reward_0.4,steps_0.4,end_0.4,reward_0.7,steps_0.7,end_0.7,reward_0.9,steps_0.9,end_0.9,reward_0.999,steps_0.999,end_0.999
4554,-250.5,302,2.0,-140.5,82,1.0,-104.0,9,2.0,-155.0,111,2.0
4555,-107.0,15,2.0,-104.5,10,1.0,-101.5,4,1.0,-283.0,367,2.0
4556,-100.0,1,2.0,-173.0,147,2.0,-104.5,10,1.0,-321.0,443,2.0
4557,-134.5,70,2.0,-100.0,1,2.0,-159.0,119,2.0,5000.0,1,0.0
4558,-168.0,137,1.0,-245.5,292,2.0,4994.5,12,0.0,-260.0,321,2.0
4559,4972.0,57,0.0,-155.5,112,2.0,-100.0,1,2.0,-130.0,61,2.0
4560,-217.5,236,1.0,-163.5,128,2.0,-214.0,229,2.0,4990.0,21,0.0
4561,-116.5,34,2.0,-130.5,62,2.0,-101.0,3,1.0,-106.5,14,2.0
4562,-118.0,37,1.0,-101.5,4,2.0,-119.5,40,2.0,-242.5,286,2.0
4563,4998.0,5,0.0,-109.0,19,1.0,4994.5,12,0.0,-105.0,11,2.0
4564,-111.5,24,2.0,-104.5,10,1.0,-259.0,319,1.0,-204.0,209,2.0
4565,-147.0,95,1.0,-126.5,54,2.0,-153.0,107,1.0,-202.0,205,2.0
4566,-110.0,21,2.0,-224.5,250,2.0,-128.0,57,2.0,-113.0,27,2.0
4567,-111.5,24,2.0,5000.0,1,0.0,-108.5,18,1.0,-131.5,64,1.0
4568,-117.5,36,2.0,-113.0,27,1.0,-168.5,138,1.0,-117.0,35,2.0
4569,4992.0,17,0.0,-110.0,21,1.0,4973.0,55,0.0,-110.5,22,1.0
4570,-103.0,7,2.0,-101.0,3,2.0,-204.0,209,1.0,-212.5,226,2.0
4571,-106.0,13,1.0,-109.5,20,1.0,-167.0,135,2.0,-103.5,8,1.0
4572,-100.5,2,1.0,-101.0,3,2.0,-175.5,152,1.0,-323.5,448,1.0
4573,-153.0,107,1.0,-104.0,9,1.0,-115.5,32,1.0,-105.5,12,2.0
4574,-102.0,5,1.0,-163.5,128,2.0,-103.0,7,1.0,-104.5,10,2.0
4575,4998.5,4,0.0,-147.5,96,2.0,4973.0,55,0.0,-103.0,7,1.0
4576,-235.0,271,1.0,-113.5,28,1.0,4998.0,5,0.0,-287.5,376,2.0
4577,-102.5,6,2.0,-153.0,107,1.0,-145.5,92,1.0,4985.0,31,0.0
4578,-102.5,6,1.0,-188.5,178,1.0,-116.0,33,2.0,-100.0,1,2.0
4579,-137.5,76,2.0,-100.5,2,2.0,-189.5,180,1.0,-132.0,65,1.0
4580,-105.0,11,2.0,-100.5,2,1.0,-118.0,37,1.0,4932.5,136,0.0
4581,-100.5,2,2.0,-100.0,1,1.0,-167.0,135,1.0,-105.0,11,2.0
4582,-118.5,38,1.0,-141.0,83,2.0,-207.0,215,2.0,-140.0,81,1.0
4583,-100.0,1,2.0,-115.5,32,1.0,-110.5,22,1.0,-100.0,1,2.0
4584,-103.5,8,2.0,-105.5,12,1.0,-118.0,37,2.0,4993.0,15,0.0
4585,-124.0,49,1.0,-104.0,9,1.0,-102.5,6,1.0,-104.0,9,2.0
4586,-102.0,5,2.0,-151.0,103,1.0,-203.0,207,1.0,-100.5,2,2.0
4587,-105.5,12,1.0,-107.5,16,2.0,-101.5,4,1.0,-111.0,23,2.0
4588,-101.5,4,1.0,-156.5,114,1.0,-101.5,4,1.0,-102.0,5,2.0
4589,4995.5,10,0.0,-118.0,37,2.0,-108.0,17,1.0,-106.0,13,1.0
4590,-102.0,5,1.0,-137.0,75,1.0,-126.0,53,2.0,4996.0,9,0.0
4591,-100.0,1,1.0,-294.5,390,2.0,-115.0,31,2.0,-106.0,13,2.0
4592,-104.0,9,2.0,-137.0,75,1.0,-175.5,152,1.0,-123.5,48,1.0
4593,-123.0,47,2.0,-112.0,25,1.0,-113.5,28,1.0,-119.5,40,2.0
4594,-105.0,11,2.0,4874.0,253,0.0,-136.0,73,1.0,-125.5,52,2.0
4595,-100.0,1,1.0,-117.5,36,1.0,-160.5,122,2.0,-185.5,172,2.0
4596,-113.0,27,1.0,4987.5,26,0.0,-184.5,170,2.0,-310.5,422,2.0
4597,-109.0,19,1.0,-179.5,160,1.0,-102.0,5,1.0,-100.0,1,1.0
4598,-191.0,183,2.0,-127.5,56,2.0,-149.0,99,1.0,-123.0,47,2.0
4599,-104.5,10,1.0,-134.5,70,2.0,-117.5,36,1.0,-101.0,3,1.0
4600,-128.0,57,1.0,-117.0,35,1.0,-102.5,6,1.0,-102.0,5,1.0
4601,-127.5,56,1.0,-113.5,28,1.0,-433.0,667,1.0,-113.0,27,1.0
4602,-100.5,2,2.0,-155.5,112,2.0,-164.5,130,2.0,-166.0,133,2.0
4603,-121.5,44,1.0,-100.0,1,2.0,-102.5,6,1.0,-147.5,96,1.0
4604,-196.0,193,1.0,-129.0,59,1.0,-243.0,287,2.0,4966.5,68,0.0
4605,-102.0,5,1.0,-125.5,52,2.0,-112.5,26,2.0,-110.5,22,1.0
4606,-178.5,158,1.0,-216.5,234,2.0,-211.5,224,1.0,-133.5,68,1.0
4607,-159.0,119,2.0,-113.5,28,2.0,-172.0,145,1.0,-150.0,101,1.0
4608,-105.5,12,2.0,-109.5,20,2.0,-270.0,341,2.0,-117.5,36,2.0
4609,-271.5,344,1.0,-275.5,352,1.0,-180.0,161,2.0,-101.0,3,1.0
4610,-101.5,4,1.0,-281.0,363,1.0,-131.5,64,2.0,-100.0,1,2.0
4611,-186.0,173,1.0,-159.5,120,1.0,-100.0,1,2.0,-362.0,525,2.0
4612,-221.0,243,2.0,-112.0,25,1.0,-144.0,89,2.0,-109.5,20,1.0
4613,-100.0,1,1.0,4972.5,56,0.0,-100.5,2,1.0,-110.0,21,2.0
4614,-103.0,7,1.0,-127.5,56,1.0,-105.5,12,1.0,-172.5,146,2.0
4615,-131.5,64,2.0,-104.0,9,2.0,-215.0,231,2.0,-104.0,9,2.0
4616,4978.5,44,0.0,-106.5,14,1.0,-125.0,51,2.0,-189.0,179,2.0
4617,-106.5,14,1.0,-163.5,128,1.0,-100.5,2,2.0,-100.0,1,1.0
4618,-105.5,12,1.0,-250.5,302,1.0,-122.5,46,1.0,-112.0,25,1.0
4619,-271.5,344,1.0,-103.0,7,1.0,4989.5,22,0.0,-125.5,52,2.0
4620,4977.0,47,0.0,-107.5,16,2.0,-100.5,2,2.0,-108.5,18,1.0
4621,-156.5,114,1.0,-137.0,75,2.0,-128.0,57,2.0,-116.0,33,1.0
4622,-100.5,2,1.0,-151.0,103,2.0,-109.0,19,1.0,-308.5,418,1.0
4623,-140.5,82,2.0,-107.5,16,2.0,4998.0,5,0.0,-121.0,43,2.0
4624,-100.0,1,2.0,-118.5,38,2.0,-104.0,9,2.0,-274.5,350,1.0
4625,-142.5,86,1.0,-194.5,190,2.0,-149.0,99,1.0,4984.5,32,0.0
4626,-119.0,39,1.0,-104.0,9,2.0,-100.5,2,1.0,-162.5,126,2.0
4627,-100.0,1,1.0,-318.0,437,2.0,-111.5,24,2.0,-373.0,547,2.0
4628,-143.5,88,2.0,-112.5,26,1.0,4991.5,18,0.0,-113.5,28,2.0
4629,-138.5,78,2.0,-100.0,1,1.0,-120.0,41,1.0,-222.5,246,1.0
4630,-113.0,27,2.0,-174.5,150,1.0,-103.0,7,2.0,-100.5,2,1.0
4631,-239.0,279,1.0,-482.0,765,2.0,-101.0,3,2.0,-115.0,31,1.0
4632,-103.0,7,2.0,-199.0,199,1.0,-133.0,67,1.0,-106.5,14,2.0
4633,-100.5,2,2.0,-132.0,65,2.0,-101.0,3,1.0,-187.5,176,2.0
4634,-153.0,107,2.0,-196.5,194,2.0,-103.0,7,2.0,-146.0,93,2.0
4635,-107.5,16,1.0,-109.5,20,2.0,-100.5,2,1.0,-182.5,166,1.0
4636,-107.5,16,1.0,-108.5,18,2.0,-135.0,71,1.0,-115.5,32,2.0
4637,-254.0,309,1.0,-135.5,72,1.0,-107.5,16,1.0,-105.5,12,2.0
4638,-143.0,87,2.0,-159.0,119,2.0,-113.0,27,2.0,-158.5,118,2.0
4639,-102.5,6,1.0,-130.5,62,2.0,-135.5,72,2.0,-101.0,3,1.0
4640,-112.5,26,2.0,-108.0,17,1.0,-105.5,12,1.0,-132.5,66,2.0
4641,-100.5,2,2.0,-106.5,14,1.0,-107.0,15,2.0,-108.0,17,1.0
4642,-104.5,10,2.0,-117.5,36,2.0,-103.0,7,2.0,-105.0,11,2.0
4643,-171.5,144,1.0,-172.0,145,1.0,-101.0,3,1.0,-111.0,23,1.0
4644,-103.5,8,1.0,-102.0,5,2.0,-126.0,53,2.0,-414.5,630,1.0
4645,-158.5,118,2.0,-245.5,292,1.0,-135.5,72,1.0,-124.5,50,2.0
4646,-133.5,68,1.0,-237.5,276,2.0,-151.0,103,1.0,4991.5,18,0.0
4647,-103.0,7,2.0,-156.0,113,1.0,-120.0,41,2.0,-210.0,221,1.0
4648,-111.5,24,2.0,-170.0,141,1.0,-100.5,2,1.0,-128.5,58,2.0
4649,-116.0,33,1.0,-110.5,22,1.0,-119.0,39,1.0,-114.0,29,2.0
4650,-100.0,1,1.0,-157.5,116,1.0,-122.5,46,1.0,-100.0,1,1.0
4651,-117.5,36,1.0,-189.5,180,2.0,-109.0,19,1.0,-139.0,79,1.0
4652,-104.0,9,2.0,-107.5,16,2.0,-106.0,13,1.0,-100.5,2,2.0
4653,4995.5,10,0.0,-116.0,33,2.0,-121.5,44,1.0,-139.0,79,2.0
4654,-141.0,83,1.0,-111.5,24,2.0,-123.0,47,1.0,-107.0,15,2.0
4655,-101.0,3,2.0,-150.0,101,2.0,-240.0,281,1.0,4972.0,57,0.0
4656,-100.0,1,2.0,-122.5,46,2.0,-160.0,121,1.0,-134.0,69,1.0
4657,-106.0,13,2.0,-144.5,90,1.0,-177.0,155,1.0,-106.0,13,1.0
4658,-100.0,1,1.0,-100.0,1,2.0,-210.5,222,1.0,-132.0,65,2.0
4659,-136.5,74,1.0,-256.5,314,2.0,-101.0,3,1.0,-100.0,1,1.0
4660,-103.5,8,2.0,-196.0,193,2.0,-296.0,393,1.0,-386.0,573,1.0
4661,-170.5,142,1.0,-159.0,119,1.0,-102.0,5,2.0,-230.5,262,1.0
4662,-102.5,6,1.0,-136.0,73,1.0,-241.5,284,1.0,-515.5,832,2.0
4663,-159.0,119,1.0,-105.0,11,2.0,-128.0,57,2.0,-121.5,44,1.0
4664,-123.0,47,2.0,-135.0,71,2.0,-251.0,303,1.0,4949.0,103,0.0
4665,-141.5,84,2.0,-106.0,13,2.0,4990.0,21,0.0,-100.0,1,1.0
4666,-113.0,27,1.0,4944.5,112,0.0,-100.5,2,2.0,-104.0,9,1.0
4667,-192.5,186,2.0,-117.0,35,2.0,-181.0,163,1.0,-154.0,109,2.0
4668,-127.5,56,1.0,-130.0,61,1.0,-125.5,52,1.0,-114.5,30,1.0
4669,-104.5,10,1.0,-144.5,90,1.0,-132.5,66,2.0,-123.5,48,1.0
4670,4991.0,19,0.0,-117.0,35,1.0,-113.0,27,1.0,-387.5,576,1.0
4671,-114.0,29,1.0,-305.5,412,1.0,-135.5,72,1.0,4883.0,235,0.0
4672,-117.0,35,1.0,-104.5,10,2.0,4978.5,44,0.0,-127.0,55,1.0
4673,-100.5,2,2.0,4827.0,347,0.0,-409.5,620,1.0,-130.0,61,1.0
4674,-106.0,13,1.0,-166.5,134,1.0,-125.5,52,2.0,-130.5,62,2.0
4675,4994.0,13,0.0,-112.5,26,1.0,4947.0,107,0.0,-223.5,248,1.0
4676,-100.0,1,1.0,-208.0,217,1.0,-110.0,21,2.0,-221.0,243,1.0
4677,-119.5,40,2.0,-115.0,31,2.0,4969.0,63,0.0,-106.5,14,2.0
4678,-103.0,7,1.0,-102.5,6,2.0,-106.5,14,2.0,4962.5,76,0.0
4679,-101.0,3,1.0,-144.0,89,2.0,-161.0,123,1.0,-155.0,111,2.0
4680,-154.5,110,1.0,-158.0,117,2.0,-163.0,127,1.0,-314.0,429,1.0
4681,-115.5,32,1.0,-121.5,44,2.0,-105.5,12,1.0,-209.0,219,2.0
4682,-125.5,52,2.0,-114.5,30,2.0,-101.5,4,2.0,-111.5,24,2.0
4683,-169.5,140,2.0,-115.0,31,2.0,-116.5,34,1.0,-117.5,36,1.0
4684,-261.5,324,1.0,-117.5,36,1.0,-105.5,12,2.0,-139.5,80,2.0
4685,-100.5,2,1.0,-168.0,137,2.0,-111.5,24,2.0,-191.0,183,1.0
4686,4997.5,6,0.0,4999.5,2,0.0,-127.0,55,2.0,-101.5,4,1.0
4687,-228.0,257,2.0,4998.0,5,0.0,5000.0,1,0.0,-100.5,2,2.0
4688,-103.5,8,2.0,-124.0,49,2.0,5000.0,1,0.0,-117.0,35,2.0
4689,-163.5,128,1.0,-155.0,111,2.0,-106.5,14,2.0,-106.5,14,1.0
4690,-175.5,152,1.0,-195.5,192,1.0,-134.5,70,1.0,-189.0,179,2.0
4691,-134.0,69,2.0,-117.5,36,2.0,-198.5,198,2.0,-120.0,41,2.0
4692,-172.5,146,2.0,-103.5,8,1.0,-168.0,137,2.0,-180.5,162,1.0
4693,4995.0,11,0.0,-162.5,126,1.0,-104.0,9,1.0,4988.0,25,0.0
4694,-232.5,266,2.0,-110.5,22,1.0,-103.0,7,1.0,-101.0,3,2.0
4695,-307.5,416,2.0,-121.5,44,2.0,-449.0,699,2.0,-111.0,23,2.0
4696,-137.5,76,2.0,-114.0,29,2.0,-211.5,224,1.0,-197.0,195,2.0
4697,-155.0,111,2.0,-103.5,8,2.0,4897.0,207,0.0,-104.5,10,1.0
4698,-102.0,5,1.0,-106.0,13,2.0,-110.0,21,1.0,-100.0,1,2.0
4699,-139.5,80,2.0,-140.0,81,1.0,-193.5,188,2.0,-137.0,75,1.0
4700,-104.0,9,1.0,4999.5,2,0.0,-125.5,52,2.0,4999.5,2,0.0
