,reward_0.2,steps_0.2,end_0.2,reward_0.4,steps_0.4,end_0.4,reward_0.6,steps_0.6,end_0.6,reward_0.8,steps_0.8,end_0.8
6531,5000.0,1,0.0,4963.0,75,0.0,4874.5,252,0.0,4941.5,118,0.0
6532,4996.0,9,0.0,4989.0,23,0.0,4957.0,87,0.0,-172.0,145,2.0
6533,4986.0,29,0.0,4976.0,49,0.0,4997.5,6,0.0,4989.5,22,0.0
6534,4993.0,15,0.0,4992.5,16,0.0,4998.0,5,0.0,4890.0,221,0.0
6535,4954.0,93,0.0,4995.0,11,0.0,4987.5,26,0.0,-103.0,7,2.0
6536,4988.0,25,0.0,4994.5,12,0.0,4983.5,34,0.0,-126.5,54,2.0
6537,4995.5,10,0.0,4992.5,16,0.0,4996.5,8,0.0,-134.5,70,2.0
6538,4991.5,18,0.0,4815.0,371,0.0,4847.5,306,0.0,4936.5,128,0.0
6539,4988.0,25,0.0,-109.0,19,2.0,4994.5,12,0.0,4948.5,104,0.0
6540,-100.5,2,2.0,4975.0,51,0.0,4999.5,2,0.0,-115.0,31,2.0
6541,4977.0,47,0.0,4982.0,37,0.0,4944.5,112,0.0,4982.5,36,0.0
6542,4996.0,9,0.0,-1000.0,2000,,4995.0,11,0.0,-111.0,23,2.0
6543,4997.5,6,0.0,4656.0,689,0.0,-100.0,1,1.0,-101.0,3,2.0
6544,4995.0,11,0.0,4985.0,31,0.0,4993.0,15,0.0,-108.5,18,2.0
6545,4994.0,13,0.0,4973.5,54,0.0,4996.0,9,0.0,4992.5,16,0.0
6546,4996.0,9,0.0,4989.5,22,0.0,4961.0,79,0.0,4955.5,90,0.0
6547,4999.0,3,0.0,4997.5,6,0.0,4991.5,18,0.0,4994.0,13,0.0
6548,4996.5,8,0.0,4999.0,3,0.0,4992.5,16,0.0,4921.5,158,0.0
6549,4994.5,12,0.0,4996.5,8,0.0,4994.5,12,0.0,4980.0,41,0.0
6550,4991.0,19,0.0,4953.5,94,0.0,4991.5,18,0.0,-104.0,9,1.0
6551,4989.5,22,0.0,4453.5,1094,0.0,4993.5,14,0.0,-100.5,2,2.0
6552,4986.0,29,0.0,4993.5,14,0.0,4988.5,24,0.0,-141.0,83,2.0
6553,4996.0,9,0.0,4883.0,235,0.0,4989.5,22,0.0,-119.0,39,2.0
6554,4998.0,5,0.0,4949.0,103,0.0,4967.0,67,0.0,-479.0,759,2.0
6555,4997.0,7,0.0,4988.5,24,0.0,4993.0,15,0.0,4998.5,4,0.0
6556,4992.5,16,0.0,4998.5,4,0.0,4981.0,39,0.0,-175.0,151,2.0
6557,4921.5,158,0.0,4999.0,3,0.0,4978.0,45,0.0,-118.5,38,1.0
6558,4995.5,10,0.0,4990.5,20,0.0,4995.0,11,0.0,4983.5,34,0.0
6559,4992.5,16,0.0,4784.0,433,0.0,4996.5,8,0.0,-111.0,23,1.0
6560,4986.5,28,0.0,4998.0,5,0.0,4977.5,46,0.0,-166.5,134,2.0
6561,4990.0,21,0.0,4892.0,217,0.0,4983.0,35,0.0,-106.5,14,1.0
6562,4988.5,24,0.0,4997.0,7,0.0,4989.0,23,0.0,-100.0,1,2.0
6563,4994.0,13,0.0,4993.0,15,0.0,4945.5,110,0.0,4976.0,49,0.0
