,reward_0.1,steps_0.1,end_0.1,reward_0.3,steps_0.3,end_0.3,reward_0.6,steps_0.6,end_0.6,reward_0.9,steps_0.9,end_0.9
204,-1000.0,2000,,-501.0,803,2.0,-100.5,2,2.0,-111.5,24,1.0
205,-102.0,5,2.0,-295.0,391,2.0,-242.0,285,2.0,-100.0,1,1.0
206,4978.5,44,0.0,-133.0,67,2.0,-114.0,29,2.0,-192.5,186,2.0
207,-113.0,27,1.0,-193.5,188,1.0,-116.5,34,1.0,4994.0,13,0.0
208,-138.5,78,2.0,-130.0,61,1.0,4984.0,33,0.0,-146.5,94,2.0
209,-224.5,250,1.0,-120.0,41,1.0,-133.5,68,1.0,-128.0,57,1.0
210,-217.0,235,1.0,-158.5,118,1.0,-107.5,16,2.0,-124.0,49,2.0
211,-273.0,347,1.0,-106.5,14,2.0,-118.5,38,2.0,-109.0,19,1.0
212,-147.0,95,2.0,-110.5,22,1.0,-104.5,10,2.0,-119.5,40,2.0
213,-1000.0,2000,,-123.5,48,1.0,-279.5,360,1.0,-103.5,8,1.0
214,-197.0,195,1.0,-155.0,111,1.0,-119.5,40,1.0,-140.0,81,2.0
215,4963.0,75,0.0,-127.0,55,2.0,-127.5,56,2.0,-102.0,5,1.0
216,-127.5,56,2.0,4976.5,48,0.0,-250.0,301,2.0,-105.0,11,1.0
217,-421.0,643,1.0,-117.5,36,2.0,-185.5,172,1.0,-121.0,43,1.0
218,-230.0,261,2.0,-103.0,7,2.0,-123.0,47,2.0,-110.0,21,2.0
219,-138.0,77,1.0,-113.5,28,2.0,-101.0,3,2.0,-111.5,24,1.0
220,-1000.0,2000,,-176.0,153,2.0,-128.0,57,1.0,-164.5,130,1.0
221,-102.5,6,1.0,-176.5,154,2.0,-116.5,34,2.0,-304.5,410,2.0
222,-1000.0,2000,,-152.0,105,2.0,-131.5,64,2.0,-102.5,6,2.0
223,5000.0,1,0.0,-102.0,5,1.0,-225.0,251,2.0,-126.0,53,2.0
224,-102.0,5,1.0,-170.5,142,2.0,-104.0,9,2.0,-172.0,145,2.0
225,-179.5,160,1.0,4950.5,100,0.0,-139.0,79,2.0,-110.5,22,2.0
226,-336.5,474,1.0,-126.0,53,1.0,-131.0,63,2.0,-107.5,16,2.0
227,-261.5,324,2.0,-106.5,14,1.0,-123.0,47,1.0,-113.0,27,1.0
228,-492.5,786,2.0,-128.0,57,2.0,-300.0,401,1.0,-116.5,34,2.0
229,-143.0,87,2.0,-101.0,3,1.0,-205.0,211,2.0,-102.5,6,1.0
230,4859.5,282,0.0,-854.5,1510,2.0,-107.5,16,1.0,-123.0,47,2.0
231,-1000.0,2000,,-110.0,21,1.0,-186.0,173,2.0,4999.5,2,0.0
232,-219.0,239,1.0,-104.0,9,2.0,-101.5,4,1.0,-107.0,15,2.0
233,-105.0,11,1.0,-206.5,214,2.0,-120.5,42,2.0,-112.0,25,1.0
234,4767.0,467,0.0,4944.0,113,0.0,-113.5,28,1.0,-116.5,34,1.0
235,-195.0,191,2.0,-866.0,1533,1.0,-106.5,14,1.0,-108.5,18,1.0
236,-179.0,159,2.0,-176.0,153,1.0,-138.0,77,1.0,-161.5,124,2.0
237,-143.5,88,2.0,-1000.0,2000,,-158.0,117,2.0,-192.5,186,1.0
238,-120.0,41,1.0,4995.0,11,0.0,-366.0,533,1.0,-126.5,54,2.0
239,-105.0,11,1.0,4915.5,170,0.0,-116.5,34,1.0,-133.0,67,1.0
240,-127.5,56,1.0,-139.0,79,1.0,-164.5,130,1.0,-128.5,58,2.0
241,-112.0,25,1.0,-159.0,119,2.0,4952.0,97,0.0,-162.0,125,2.0
242,-124.5,50,1.0,-1000.0,2000,,-181.0,163,2.0,-401.0,603,1.0
243,-102.0,5,1.0,-152.5,106,2.0,-100.0,1,1.0,-125.5,52,1.0
244,4937.5,126,0.0,4972.5,56,0.0,-154.5,110,1.0,4987.5,26,0.0
245,4944.5,112,0.0,-158.5,118,1.0,-111.5,24,2.0,-221.5,244,1.0
246,-1000.0,2000,,-134.5,70,1.0,4977.5,46,0.0,-238.0,277,1.0
247,-146.0,93,1.0,4999.5,2,0.0,-113.0,27,2.0,-121.5,44,1.0
248,-136.5,74,1.0,-134.5,70,2.0,-271.0,343,2.0,5000.0,1,0.0
249,-159.0,119,2.0,-144.5,90,1.0,-117.0,35,2.0,-103.5,8,1.0
250,5000.0,1,0.0,-1000.0,2000,,-100.5,2,2.0,-105.0,11,2.0
251,5000.0,1,0.0,-616.0,1033,1.0,-198.0,197,2.0,5000.0,1,0.0
252,-130.5,62,1.0,-916.0,1633,1.0,4986.0,29,0.0,-112.0,25,1.0
253,-673.5,1148,1.0,-173.5,148,2.0,-121.0,43,1.0,-134.0,69,1.0
254,-1000.0,2000,,-1000.0,2000,,4967.0,67,0.0,-110.5,22,2.0
255,-469.0,739,1.0,-129.5,60,2.0,-124.5,50,2.0,4998.5,4,0.0
256,4968.5,64,0.0,5000.0,1,0.0,5000.0,1,0.0,-225.5,252,2.0
257,-419.0,639,1.0,-106.0,13,2.0,-120.5,42,1.0,-302.0,405,2.0
258,-234.0,269,1.0,4956.5,88,0.0,-226.5,254,2.0,-114.0,29,2.0
259,-161.5,124,1.0,-410.5,622,1.0,-100.5,2,1.0,-101.5,4,1.0
260,4947.0,107,0.0,-147.0,95,2.0,-119.0,39,2.0,-184.0,169,2.0
261,-127.5,56,1.0,-196.0,193,1.0,-121.0,43,2.0,-103.0,7,1.0
262,-162.0,125,1.0,-155.5,112,1.0,-155.5,112,2.0,-120.5,42,1.0
263,-170.5,142,2.0,5000.0,1,0.0,-127.0,55,1.0,-384.5,570,1.0
264,-1000.0,2000,,-118.5,38,1.0,-103.0,7,2.0,-113.0,27,2.0
265,-135.5,72,1.0,-778.5,1358,1.0,-118.0,37,1.0,-236.0,273,2.0
266,4955.0,91,0.0,-140.0,81,2.0,-450.5,702,1.0,-163.0,127,1.0
267,-115.5,32,1.0,5000.0,1,0.0,-129.0,59,2.0,-333.5,468,1.0
